
NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1609 PDM     	2024-08-22	20:17:36	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1609 PDN     	2024-08-22	20:21:33	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDM     	2024-08-22	20:22:34	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1669 PDM     	2024-08-22	20:23:02	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1669 PDM     	2024-08-22	20:25:03	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1505 ZFX     	2024-08-22	20:25:19	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	20:26:42	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 2526 KMB     	2024-08-22	20:26:56	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	20:27:20	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1095 LKU     	2024-08-22	20:27:22	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	20:27:54	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 2123 YJ      	2024-08-22	20:27:57	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	20:28:47	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	20:40:48	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
L 1373 LN      	2024-08-22	20:41:00	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	20:41:13	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	20:41:14	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
1B 1882 SEO    	2024-08-22	20:41:15	genap       	aJOZeVXPm3VDRF+4DJvtMw==        
B 1882 SEO     	2024-08-22	20:42:18	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-22	20:42:32	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
7B 1882 SEQ    	2024-08-22	20:42:41	genap       	ScsPV5mFPAvXBkwGhHjOEg==        
B 1682 SEO     	2024-08-22	20:53:20	genap       	AKzAmxR6xGE3pblM6l+BkA==        
               	2024-08-22	20:53:48	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1505 ZF      	2024-08-22	20:54:24	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        
B 1505 ZFX     	2024-08-22	20:55:46	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
               	2024-08-22	20:56:03	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1609 PDN     	2024-08-22	21:04:19	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDH     	2024-08-22	21:04:35	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        
B 1609 PDN     	2024-08-22	21:04:45	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 2526 KMB     	2024-08-22	21:05:03	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	21:05:10	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	21:05:12	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1505 ZFX     	2024-08-22	21:05:16	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:05:36	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:05:38	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:05:40	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:05:44	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
iB 2123 YJ     	2024-08-22	21:05:46	ganjil      	fPgZm5d4v0t28XZ622I2tA==        
B 2123 YJ      	2024-08-22	21:06:57	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:07:06	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
q 2123 YJ      	2024-08-22	21:07:50	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        
B 1095 LKU     	2024-08-22	21:09:21	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	21:09:27	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	21:09:29	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 UKU     	2024-08-22	21:09:31	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        
L 1373 LN      	2024-08-22	21:09:37	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:09:46	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:09:48	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
B 1882 SEO     	2024-08-22	21:09:50	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-22	21:10:13	genap       	XHnwdj5OE4hbvNCLdlVnVw==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
E 1882 SEO     	2024-08-22	21:17:23	genap       	c/J5Y1SvtW9BTxox4Mpz4g==        
8 1882 SEO     	2024-08-22	21:17:40	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        
               	2024-08-22	21:17:58	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:18:03	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1882         	2024-08-22	21:18:07	genap       	eDFaUCbrYO+8cSAmtmpBYA==        
B 1882 SEO     	2024-08-22	21:18:13	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 2123 YJ      	2024-08-22	21:18:31	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
               	2024-08-22	21:18:31	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:18:34	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
Gata           	2024-08-22	21:18:34	tidak terbaca	sSBG3Il3BZ+0Z7jVUJZPFA==        
pees           	2024-08-22	21:18:35	tidak terbaca	nHuZGWgW2VsRnptDrJYlDQ==        
B 2123 VJ      	2024-08-22	21:18:36	ganjil      	i/gY8cCyikbzyxlH1YFHZw==        
B 2123 Yj      	2024-08-22	21:18:36	ganjil      	zBZAEe6RPhDMqkVetzqNdg==        
B 2123 YJ      	2024-08-22	21:18:38	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
5 1082 Se      	2024-08-22	21:18:56	genap       	utF3euOY0H85ndISa4jC+A==        
1082 SEO       	2024-08-22	21:18:57	genap       	baMF/z2r3DOmEaepjalCwA==        
gq 71962 SEO   	2024-08-22	21:18:59	genap       	H44+gPjPbRbud9JDNbh09w==        
               	2024-08-22	21:19:00	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:02	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
8 AAD FN B 1082 SED	2024-08-22	21:19:03	genap       	oRm62oTR7zLR66BddrosvyQi7THzh2CHFpyy+jYOGNM=
18 1882 SEO    	2024-08-22	21:19:04	genap       	pJtbrRHTkhVr7s41KBTUEw==        
               	2024-08-22	21:19:07	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:08	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:09	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:10	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:12	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
y 1882 SEO     	2024-08-22	21:19:13	genap       	b5cKwCswg5kSsOkvwFxM6g==        
               	2024-08-22	21:19:15	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1902 SEO     	2024-08-22	21:19:16	genap       	zyOsyxidHubqZSMuTx6fZg==        
fp 1682 SEO    	2024-08-22	21:19:19	genap       	BSAKu9Z62uC7nYWUTbHnzg==        
               	2024-08-22	21:19:20	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:21	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
P 7123 J       	2024-08-22	21:19:22	ganjil      	HQMVlVdMH1+j54d7jqDCqQ==        
               	2024-08-22	21:19:23	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
Gy             	2024-08-22	21:19:24	tidak terbaca	kpHuzPvpmcMzgmRoKFaoOw==        
               	2024-08-22	21:19:25	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:26	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
               	2024-08-22	21:19:27	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
Geita          	2024-08-22	21:19:27	tidak terbaca	ubNx5dBBvFg3gwh9qdnX+A==        
               	2024-08-22	21:19:28	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 2123 VJ      	2024-08-22	21:19:29	ganjil      	i/gY8cCyikbzyxlH1YFHZw==        
B 2123 VJ a    	2024-08-22	21:19:32	ganjil      	hNvwE1VmvhhL3BjsIcFnzQ==        
B 2123 VJ ae   	2024-08-22	21:19:33	ganjil      	KilnGp8Jmh7pQ5fF0/MJdg==        
B 2123 YJ      	2024-08-22	21:19:34	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
8 2123 YJ      	2024-08-22	21:19:34	ganjil      	zULrmb1+LJxgoBWIViKoVg==        
