Tanggal        	Waktu          	NoPlat    	Enkripsi                                          	Decode                                            	Waktu Dekripsi (ms) 
2024-08-22     	20:27:57       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-22     	20:28:47       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-22     	20:40:48       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-22     	20:41:00       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-22     	20:41:13       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-22     	20:41:14       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-22     	20:41:15       	1B 1882 SEO    	aJOZeVXPm3VDRF+4DJvtMw==                          	1B 1882 SEO                                       	0.011               
2024-08-22     	20:42:18       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-22     	20:42:32       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-22     	20:42:41       	7B 1882 SEQ    	ScsPV5mFPAvXBkwGhHjOEg==                          	7B 1882 SEQ                                       	0.011               
2024-08-22     	20:53:20       	B 1682 SEO     	AKzAmxR6xGE3pblM6l+BkA==                          	B 1682 SEO                                        	0.011               
2024-08-22     	20:54:24       	B 1505 ZF      	gu1tqoY7nbjY3Rf0gzV8sA==                          	B 1505 ZF                                         	0.011               
2024-08-22     	20:55:46       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	21:04:19       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-22     	21:04:35       	B 1609 PDH     	krcMGvWJ+lxJUdvV/pai2Q==                          	B 1609 PDH                                        	0.011               
2024-08-22     	21:04:45       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-22     	21:05:03       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-22     	21:05:10       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-22     	21:05:12       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-22     	21:05:16       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	21:05:36       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	21:05:38       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	21:05:40       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	21:05:44       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	21:05:46       	iB 2123 YJ     	fPgZm5d4v0t28XZ622I2tA==                          	iB 2123 YJ                                        	0.011               
2024-08-22     	21:06:57       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.012               
2024-08-22     	21:07:06       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-22     	21:07:50       	q 2123 YJ      	eLHz2JC6R2sgxvLUqfuHgQ==                          	q 2123 YJ                                         	0.011               
2024-08-22     	21:09:21       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-22     	21:09:27       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-22     	21:09:29       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.010               
2024-08-22     	21:09:31       	B 1095 UKU     	wkNm8GeXDSJ1wIKJ2Rc+Iw==                          	B 1095 UKU                                        	0.011               
2024-08-22     	21:09:37       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-22     	21:09:46       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-22     	21:09:48       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-22     	21:09:50       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-22     	21:10:13       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-22     	21:17:23       	E 1882 SEO     	c/J5Y1SvtW9BTxox4Mpz4g==                          	E 1882 SEO                                        	0.027               
2024-08-22     	21:17:40       	8 1882 SEO     	uiRmZFOnHpFNpGxAwMVzCQ==                          	8 1882 SEO                                        	0.029               
2024-08-22     	21:18:07       	B 1882         	eDFaUCbrYO+8cSAmtmpBYA==                          	B 1882                                            	0.029               
2024-08-22     	21:18:13       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.028               
2024-08-22     	21:18:31       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.027               
